Name	Set	ImageFile	Type	Class	VP	Flying	Size	Vitality	Vit. Red	OCB	Babes	Gold	Beer	Channeling	Channeler	Ranged attack	Command	Power stones	basic draw	LDL	MDL	LUC	Effect	Bonus	Script
Cherub	RE	CherubElementalAngelRare2.png	elemental	Angel              		F	S	3		0				C									+6 Vitality vs Demons and Devils. Immune to large Creatures.		
Corruption Stream	RE	CorruptionStreamElementalForceRare2.png	elemental	Force              			L	2	8	0													Beats opponent if the Corruption Stream is a secondary attacker.		
Darkness Elemental	RE	DarknessElementalElementalElementRare2.png	elemental	Element            			L 	13		3							Y						Opponent must reveal his Combat Hand. You may choose to retreat before melee, but discard the Darkness Elemental to do so.		
Death	RE	DeathElementalManifestationRare2.png	elemental	Manifestation      			M	7	13	0			B										Destroys any Mortal affected by fear.		
Demon Horde of Kabod	RE	DemonHordeofKabodElementalDemonUncommon1.png	elemental	Demon              			M 	6		1	L												Can heal one Demon Horde of Kabod regardless of who controls the space.		
Devil Dog	RE	DevilDogElementalDevilCommon1.png	elemental	Devil              			M 	6		0			B										Immune to fire. +3 Vitality when used as secondary attacker.		
Devil Hedgehog	RE	DevilHedgehogElementalDevilCommon1.png	elemental	Devil              			S 	4		2			B										Immune to fire.		
Djinn	RE	DjinnElementalForceUncommon1.png	elemental	Force              		F	M	6		0		G											Ranged attack -- forces a push, no further modification allowed by either side.		
Doomwing	RE	DoomwingElementalDemonUncommon1.png	elemental	Demon		F	L	14		0	L				6								6 pt. ranged attack.		
Dreaded Doom Dog	RE	DreadedDoomDogElementalDevilCommon1.png	elemental	Devil              			L 	7		4			B										Immune to fire.		
Earth Elemental	RE	EarthElementalElementalElementCommon1.png	elemental	Element            			L 	18		9													+2 in Dry Heaps		
Earth Mother	RE	EarthMotherElementalSpiritRare2.png	elemental	Spirit             			M 	6		0				C									When on a space with no Terrain card, no Creature need be lost if you show your opponent Earth Mother during Terrain Settlement Phase.		
Energy Leech	RE	EnergyLeachElementalForceRare2.png	elemental	Force              			S	2	5	0							Y						Dispels opponents command card. If played in a match-up, no channeling allowed after the Leach is played by either player.		
Energy Toad	RE	EnergyToadElementalForceUncommon1.png	elemental	Force              			S 	5		0						2							No channeling vs. Energy Toad.+2 in the swamp. 2 pt. ranged attack.		
Energy Well	RE	EnergyWellElementalWellRare2.png	elemental	Well               			M	4	7	1				C	3								Can only channel to Elementals.		
Fire Elemental	RE	FireElementalElementalElementRare2.png	elemental	Element            		F	M	14		0													4 pt. AOE fireball, has fire-based attack.+2 in the woods		
Fire Walker	RE	FireWalkerElementalForceCommon1.png	elemental	Force              			S 	9		4													Immune to fire. Has a fire-based attack.		
Gorgal Skag	RE	GorgalSkagElementalDemonCommon1.png	elemental	Demon		F	S	4		1													From the fetid cracks of the world's end come the minions of evil incarnate.		
Greater Air Elemental	RE	GreaterAirElementalElementalElementUncommon1.png	elemental	Element            		F	L	16		0													+6 Vitality vs. Creatures with the ability to fly.		
Greater Energy Elemental	RE	GreaterEnergyElementalElementalElementRare1.png	elemental	Element            		F	L	12		0				C	2								Unlimited channeling		
Ice Elemental	RE	IceElementalElementalElementCommon1.png	elemental	Element            			M 	15		6													+4 in the mountains		
Ice Spirit	RE	IceSpiritElementalSpiritCommon1.png	elemental	Spirit             			L 	5		2													Immune to Undead.+1 in the mountains		
Iron Lord	RE	IronLordElementalElementalLordUncommon1.png	elemental	Elemental Lord     			M 	10		1	L												3 pt. AOE fear attack. When played, +3 pts. to the AOE attack for each different type of Elemental Lord in play.		
Lawyer	RE	LawyerElementalDevilRare1.png	elemental	Devil              			M 	7		0	L	G	B										Must play as first melee Creature. If it survives, Lawyer counts as 21 Vitality for control of the space. Only one Lawyer per space per player.		
Light Elemental	RE	LightElementalElementalElementRare2.png	elemental	Element            		F	L	13		2				C									Destroys Darkness Elemental.		
Lorg Mole	RE	LorgMoleElementalDemonUncommon1.png	elemental	Demon              		F	M	9		1	L												No channeling vs. Lorg Mole.  Immune to fire.		
Magma Elemental	RE	MagmaElementalElementalElementCommon1.png	elemental	Element            			L 	9		0						4							4 pt. ranged attack		
Mist Veiler	RE	MistVeilerElementalForceRare2.png	elemental	Force              			M 	10		0			B										No secondary attacks against Mist Veiler.+1 in the swamp		
Moon Spirit	RE	MoonSpiritElementalSpiritUncommon1.png	elemental	Spirit             			L 	8		0													No channeling vs. Moon Spirits. Immune to fear.		
Mud Elemental	RE	MudElementalElementalElementCommon1.png	elemental	Element            			M 	8		2													+4 in the swamp		
Old Nick	RE	OldNickElementalDevilRare1.png	elemental	Devil              		F	L	20		0	L			C	5								Can only channel to Demons and Devils. Can only accept channeling from your Guardian.		
Primordial Goo	RE	PrimordialGooElementalForceCommon1.png	elemental	Force              			M 	12		5													+3 in the swamp		
Rain Spirit	RE	RainSpiritElementalSpiritUncommon2.png	elemental	Spirit             		F	L	6		0						2							2 pt. ranged attack		
Rock Lord	RE	RockLordElementalElementalLordUncommon1.png	elemental	Elemental Lord     			M 	12		1	L												3 pt. AOE fear attack. When played, +3 pts. to the AOE attack for each different type of Elemental Lord in play.		
Rock Spirit	RE	RockSpiritElementalSpiritCommon1.png	elemental	Spirit             			S 	5		1							Y						All your Creatures are +5 Vitality vs. Creatures defending in Strongholds.		
Roving Force Inferno	RE	RovingForceInfernoElementalForceRare1.png	elemental	Force              			M 	12		1													No secondary attacks vs. the Roving Force Inferno.		
Sand Lord	RE	SandLordElementalElementalLordCommon1.png	elemental	Elemental Lord     			M 	11		3	L												-6 Vitality in Woods +6 in Dry Heaps		
Sleeping Spirit	RE	SleepingSpiritElementalSpiritCommon1.png	elemental	Spirit             		F	S	5		1													If the Sleeping Spirit wins a match-up, opponent is destroyed.		
Smoke Spirit	RE	SmokeSpiritElementalSpiritUncommon1.png	elemental	Spirit             		F	M	7		1				C									Once played, no ranged attacks allowed by either player.		
Snow Daughters	RE	SnowDaughtersElementalSpiritCommon1.png	elemental	Spirit             			M 	6		2													+3 in the mountains		
Spirit of the Forge	RE	SpiritoftheForgeElementalSpiritRare2.png	elemental	Spirit			M	6	8	0						5							5 pt. ranged attack		
Spirit of the Hunt	RE	SpiritoftheHuntElementalSpiritRare1.png	elemental	Spirit             			M 	5		0													You may ignore your first opponent in melee and randomly pick a new one from opponent's combat hand. One per space per player.		
Stinking Spirit	RE	StinkingSpiritElementalSpiritUncommon1.png	elemental	Spirit             			L 	5		0			B				Y						Any Creatures with a Base Vitality less than 5 can't fight and don't count towards control of space (both sides). They can be attacked by secondary attackers.		
Succubus	RE	SuccubusElementalDevilUncommon1.png	elemental	Devil		F	M	9		0		G											Immune to fire; +7 vs bribable by Babes.		
Sun Spirit	RE	SunSpiritElementalSpiritCommon2.png	elemental	Spirit             			S 	12		6													Immune to fire.  Has a fire-based attack.		
Tangle Web	RE	TangleWebElementalForceUncommon1.png	elemental	Force              			L 	8		2													Creatures who beat the Tangle web are destroyed if they don't get to stay in the space.+4 in the Spires		
Thunder Hawk	RE	ThunderHawkElementalSpiritRare2.png	elemental	Spirit             		F	L	1	7	1	L					13							13 pt. ranged attack. When used as a ranged attack, Thunder Hawk is beaten as well.		
Trumpeter	RE	TrumpeterElementalAngelUncommon1.png	elemental	Angel              		F	S	2		0				C			Y						Opponent must show you all Demons and Devils in their Combat Hand. Opponent must play these in match-ups before any others.		
Vapor Elemental	RE	VaporElementalElementalElementUncommon1.png	elemental	Element            		F	L	11		0				C									When played in a match-up, opponent must discard items travelling as creatures on this space		
Warrior Spirit	RE	WarriorSpiritElementalSpiritUncommon1.png	elemental	Spirit		F	M	10		3													The cunnin beast is awakened. Pretenders and false prophets stand wary, your time is nigh.		
Water Spout	RE	WaterSpoutElementalForceCommon1.png	elemental	Force              			S 	4		1													+3 in rivers and lakes		
Whispering Spirits	RE	WhisperingSpiritsElementalSpiritCommon1.png	elemental	Spirit             		F	S	3		0													+2 in the swamp		
Wind Spirit	RE	WindSpiritElementalSpiritCommon1.png	elemental	Spirit             		F	M	5		1													+4 Vitality vs. Creatures with the ability to fly.		
Wood Spirit	RE	WoodSpiritElementalSpiritCommon1.png	elemental	Spirit             			M 	6		1													+4 in the woods		
Yandrax	RE	YandraxElementalDemonUncommon1.png	elemental	Demon              			S	1	2	0							Y						All Demons and Devils are +2 Vitality (both sides).		
Angel of Death	DI	AngelofDeathElementalAngelCommon1.png	elemental	Angel              		F	M	13		0													You gain 1 Power Stone for each Creature you beat after the Angel of Death is in play, as long as it is unbeaten.		
Arwyddyn	DI	ArwyddynElementalSpiritCommon4.png	elemental	Spirit             		F	S	3		1		G											Can heal any one Spirit for 1 Power Stone.		
Captain Red Noseoid	DI	CaptainRedNoseoidElementalEvilTwinCommon2.png	elemental	Evil Twin          			M 	15		7	L	G	B										Opponent gets no Vitality bonus for Creature Class when Captain Red Noseoid is in play.		
Castellan Keir	DI	CastellanKeirElementalMediumCommon1.png	elemental	Medium             			M 	1		0			B										If Keir is on one of your rubble spaces during the Terrain Settlement Phase, you may restore it back into a working Stronghold. Discard Castellan Keir when used in this fashion.		
Chephros	DI	ChephrosElementalDevilCommon3.png	elemental	Devil              			L 	9		2	L												Chephros is +2 Vitality for each Demon or Devil that has been beaten so far in this combat.		
Druk	DI	DrukElementalDevilCommon3.png	elemental	Devil		F	M	8		2	L												Immune to fire.		
Dust Geyser 	DI	DustGeyserElementalGeyserCommon1.png	elemental	Geyser             			S	1	7	0			B										When played as a primary attacker, the initial result is a push.  Either player may then modify the match-up.		
Flame Geyser	DI	FlameGeyserElementalGeyserCommon3.png	elemental	Geyser             		F	L	6		1													Fire-based attack. Immune to fire. +2 Vitality to all your Creatures with fire-based attacks when the Flame Geyser is in play.		
Hackthorn Strangler	DI	HackthornStranglerElementalPlantCommon2.png	elemental	Plant              			L 	11		0			B										When played as a primary attacker, the Strangler may ignore its match-up opponent and instead attack your opponent's Command Card if that card is a Creature.		
Holy Avenger	DI	HolyAvengerElementalAngelRare2.png	elemental	Angel              		F	M	5		0													+10 Vitality as a secondary attacker if your primary attacker in the match-up was a Paladin or an Angel other than a Holy Avenger.		
Kazarian Squawker	DI	KazarianSquawkerElementalDemonCommon4.png	elemental	Demon              		F	S	5		1							Y						The Squawker attacks your opponent's Command Card, if that card is a Creature. If the Squawker wins the match-up, your opponent's Command Card ability doesn't take affect.		
Koset of the Light	DI	KosetoftheLightElementalSpiritCommon3.png	elemental	Spirit             		F	M	4		0			B										You gain 1 Power Stone every time an opponent channels while Koset is in play.		
Lizard Skin Lynn	DI	LizardSkinLynnElementalSaurianCommon4.png	elemental	Saurian            			M 	8		1		G											+5 Vitality vs. Large Creatures.		
Magnate Justice	DI	MagnateJusticeElementalManifestationCommon4.png	elemental	Manifestation			M	16		7													Destroys any Wanderer.		
Monolith of Chaos	DI	MonolithofChaosElementalMonolithCommon2.png	elemental	Monolith           			L 	11		4													If the Monolith beats an External in the primary attack round, it may not be attacked by secondary attackers.		
Reverend Smilin' Jackoid	DI	ReverendSmilinJackoidElementalEvilTwinCommon2.png	elemental	Evil Twin          			M 	2		0	L	G	B				Y						When fighting over a space with an opponent's face-down Terrain or Shield/Terrain card, that card is discarded after combat.		
Roaming Steam Geyser	DI	RoamingSteamGeyserElementalGeyserRare3.png	elemental	Geyser			M	6		0													No secondary attacks vs. the Geyser.		
Spirit Guide	DI	SpiritGuideElementalSpiritCommon3.png	elemental	Spirit             			M 	3		0				C			Y						Opponent must tell you the total number of cards and total Vitality in his/her combat hand.  You may then discard the Spirit Guide and retreat before primary attacks begin.		
Supermodeloid	DI	SupermodeloidElementalEvilTwinCommon2.png	elemental	Evil Twin          			M	1	3	0		G											+3 Vitality to all your Creatures bribable by Babes when the Supermodeloid is in play.		
Vensuni Inferno Swarm	DI	VensuniInfernoSwarmElementalElementRare1.png	elemental	Element            			L	6	14	4							Y						11-pt AOE fire attack. Discard your entire combat hand when the Swarm is used as a Command Card.		
Angel of Righteousness	DN	AngelofRighteousnessElementalCreatureC1.png	elemental	Angel              		F	M	8		1													+3 Vitality for each bribery icon on the Angel's match-up opponent.		
Baezhu, Overlord of Twisted Ways	DN	BaezhuOverlordofTwistedWaysElementalCreatureC4.png	elemental	Element            			L 	2		2			B				Y						For the remainder of combat, the disputed land space being fought upon is considered to be Spires.		
Bob, Snapping Gob	DN	BobSnappingGobElementalCreatureR4.png	elemental	Gob			S	3		0	L												Destroys Mortals when used as a secondary attacker.		
Demorgan the Inciter	DN	DemorgantheInciterElementalCreatureR2.png	elemental	Disciple of Entropy		F	L	6	11	4			B										When played as a primary attacker, add 2d6 to the Inciter's Vitality.		
Garuda Kahn, First Disciple	DN	GarudaKahnFirstDiscipleElementalCreatureR4.png	elemental	Disciple of Entropy		F	L	9	11	2			B										Garuda gains 1d6 Vitality for every other Disciple that is in play.		
Gnorg, Overlord of Swamps	DN	GnorgOverlordofSwampsElementalCreatureU2.png	elemental	Element            			L 	6		1			B				Y						For the remainder of combat, the disputed land space being fought upon is considered to be Swamps.		
Initiate of Entropy	DN	InitiateofEntropyElementalCreatureU4.png	elemental	Disciple of Entropy			M	2	5	1			B	C									When played as a primary attacker, add 1d6 to the Initiate's Vitality.		
Ix, Overlord of the Waters	DN	IxOverlordoftheWatersElementalCreatureC3.png	elemental	Element            			L 	5		1			B				Y						For the remainder of combat, the disputed land space being fought upon is considered to be Rivers and Lakes.		
Medicine Man	DN	MedicineManElementalCreatureC3.png	elemental	Spirit             			M 	3		0				C			Y						All of your Spirits at +2 Vitality.		
Mendu Sada, the Havoc	DN	MenduSadatheHavocElementalCreatureR4.png	elemental	Disciple of Entropy			L 	11		0			B										1d6 AOE fear attack. On a roll of 6, there is no effect.		
Mu Kir' Agavati, Second Disciple	DN	MuKirAgavatiSecondDiscipleElementalCreatureU3.png	elemental	Disciple of Entropy			S 	4		1			B	C									While Mu Kir' is in play, you may reroll any 1d6 one time.		
Nob, Rapicious Gob	DN	NobRapiciousGobElementalCreatureR4.png	elemental	Gob                			S 	3		0			B										Destroys Elementals when used as a secondary attacker.		
Orella of the Mist	DN	OrellaoftheMistElementalCreatureR2.png	elemental	Disciple of Entropy			M	4	7	1		G		C									Roll 1d6. Destroys (1-2 = Elementals, 3-4 = Externals, 5-6 = Mortals).  No modification to this match-up after the roll.		
Rey, Overlord of Trees	DN	ReyOverlordofTreesElementalCreatureC1.png	elemental	Element            			L 	4		2			B				Y						For the remainder of combat, the disputed land space being fought upon is considered to be Woods. No ranged attacks allowed.		
Shin Chios, Third Disciple	DN	ShinChiosThirdDiscipleElementalCreatureR2.png	elemental	Disciple of Entropy		F	M	4		0		G		C									When Shin is your primary match-up Creature, you may play any card from your Combat Hand as an Unchallenged Card in melee. Shin gains that Creature's text box.		
Slor, Overlord of the Wastes	DN	SlorOverlordoftheWastesElementalCreatureU4.png	elemental	Element            			L 	5		2			B				Y						For the remainder of combat, the disputed land space being fought upon is considered to be The Dry Heaps.		
Uras, Overlord of Mountains	DN	UrasOverlordofMountainsElementalCreatureC3.png	elemental	Element            			L 	2		2			B	C			Y						For the remainder of combat, the disputed land space being fought upon is considered to be Mountains.		
Vikia Tso'Shan'Lu	DN	VikiaTsoShanLuElementalCreatureR3.png	elemental	Disciple of Entropy			M 	4		0		G		C									If Vikia beats her primary match-up opponent, roll 1d6. On a 3+, you may immediately pull a random card from your opponent's Combat Hand. The card you picked in now an Unchallenged Card in melee.		
Xaz, Thief of Twilight	DN	XazThiefofTwilightElementalCreatureR4.png	elemental	Disciple of Entropy			M 	6		0		G											When Xaz is used as a primary attacker, roll 1d6.  On a 3+, Xaz gains the text box of her match-up opponent and that Creature loses its text box power.		
Zob, Gurgling Gob	DN	ZobGurglingGobElementalCreatureR4.png	elemental	Gob                			S 	3		0		G											Destroys Externals when used as a secondary attacker.		
Ba Choomba	NP	BaChoombaElementalCreatureCommon2.png	elemental	Saurian/Blood Spear			L 	22		11	L												If the Ba Choomba loses a primary match-up, your Command Card is destroyed, if it is a Creature.		
Bellaret, Third Called	NP	BellaretThirdCalledElementalCreatureUncom1.png	elemental	Traithe            			M 	4		1						2							2 pt. ranged attack. Add the sum of the unmodified point values of any other ranged attacks already played on this match-up to Bellaret's ranged attack.		
Dachas, Supreme Leader	NP	DachasSupremeLeaderElementalCreatureUncom1.png	elemental	Saurian/Law Speaker			M 	5		0	L						Y						All Creatures in your Combat Hand gain immunity to AOE's, including AOE's from your opponent's Command Card.		
Doogop, the Greedy	NP	DoogoptheGreedyElementalCreatureCommon2.png	elemental	Devil              		F	S	6		0	L	G											+1 Vitality to each of your other Creatures for each of their Bribery icons while Doogop is in play.		
Drizzle Bone the Hack	NP	DrizzleBonetheHackElementalCreatureUncom1.png	elemental	Demon              			S 	8		0	L												Ranged Attack - If your primary match-up Creature wins this match-up, your opponent's primary match up Creature is destroyed.		
Gehrund, Field Marshal 	NP	GehrundFieldMarshalElementalCreatureUncom1.png	elemental	Saurian/Blood Spear			M 	3		1		G					Y						Spend 1 stone to force your opponent to take any Creatures from beneath his Stronghold cards or Upgrades and place them in his Creature Pen before primary attacks.+1 in the Jungle		
Gorcoo	NP	GorcooElementalCreatureCommon2.png	elemental	Saurian/Night Spear			M 	2		0		G											Ranged attack - Causes your current Saurian match-up Creature to gain its Off-color bonus if it did not already get it.		
Guardian Angel	NP	GuardianAngelElementalCreatureUncom3.png	elemental	Angel              		F	M	5		0							Y						During primary match-ups, you may return any of your beaten Creatures to your Creature Pen before the next primary match-up begins for 1 Power Stone per creature.		
Jimandu	NP	JimanduElementalCreatureCommon2.png	elemental	Saurian/Blood Spear			L 	10		2			B										+1 Vitality for each primary match-up which has occurred in this combat so far.		
Jinshade, Second Called	NP	JinshadeSecondCalledElementalCreatureUncom3.png	elemental	Traithe            			M 	6		2						3							3 pt. ranged attack. Add the sum of the unmodified point values of any other ranged attacks already played on this match-up to Jinshade's ranged attack.		
Joomjaba	NP	JoomjabaElementalCreatureUncom3.png	elemental	Saurina/Blood Spear			M 	5		0			B										When used as a secondary attacker, the Joomjaba destroys Large Creatures.		
Mocodabi	NP	MocodabiElementalCreatureCommon2.png	elemental	Saurian/Night Spear			L 	5		0							Y						Opponent must discard any 1 Medium-sized Creature of his choice from his Combat Hand before primary attacks.		
Noknaga	NP	NoknagaElementalCreatureCommon2.png	elemental	Saurian/Blood Spear			S	4		1			B										Immune to fear. +3 in the Jungle		
Rachur, Field Marshal	NP	RachurFieldMarshalElementalCreatureUncom1.png	elemental	Saurian/Still Watcher			M 	4		1			B										When Rachur is in play and unbeaten, all of your other Creatures gain their Terrain bonuses, regardless of which Terrain they're fighting in.		
Secauris	NP	SecaurisElementalCreatureCommon2.png	elemental	Saurian/Night Spear			S 	4		1			B			1							1 pt. ranged attack which also forces opponent to discard 1 Creature Magic Item on the space.		
Shackzu, Field Marshal	NP	ShackzuFieldMarshalElementalCreatureUncom1.png	elemental	Saurian/Night Spear			M 	6		1		G											+1 Vitality to all your other Saurians when Shackzu is in play.+2 in the Jungle		
Tavinmoor, First Called	NP	TavinmoorFirstCalledElementalCreatureCommon2.png	elemental	Traithe            			M 	8		1						5							5 pt. ranged attack. Add the sum of the unmodified point values of any other ranged attacks already played on this match-up to Tavinmoor's ranged attack.		
Arms of the Earth	RE	ArmsoftheEarthExternalUndeadRare2.png	external	Undead             			L 	6		0							Y						Randomly pick a card from your opponent's Combat Hand. That card and Arms of the Earth can't attack or count toward victory. Secondary attackers and attack either Creature freely.		
Bantam Drake	RE	BantamDrakeExternalDragonUncommon1.png	external	Dragon             		F	M	8		1		G											+7 vs flying creatures.		
Black Lung	RE	BlackLungExternalCommon1.png	external				M 	14		6	L												+4 in rivers and lakes		
Black Unicorn	RE	BlackUnicornExternalUndeadRare2.png	external	Undead             			L 	13		0				C	2								Can only accept channeling from Guardians and eternal witch lords.		
Blackthwaite Jumper	RE	BlackthwaiteJumperExternalFairyUncommon1.png	external	Fairy              			S 	1		0			B										Immune to AOE attacks.+1 in the woods		
Bold Mold	RE	BoldMoldExternalMoldUncommon1.png	external	Mold               			L 	12		4			B										If Bold Mold beats opponent by more than the Vitality of his/her Command Card, your opponent's Command Card is destroyed.		
Bone Shambler 	RE	BoneShamblerExternalUndeadRare2.png	external	Undead             			M 	3		0				C									Can accept up to 6 pts. of channeling.		
Burrowing Barg	RE	BurrowingBargExternalCommon2.png	external				M 	8		2													+7 Vitality vs. Creatures defending in Strongholds.		
Crook End Snoot	RE	CrookEndSnootExternalFairyCommon1.png	external	Fairy              			S 	2		4			B										If beaten by External or Elementals, Snoot is destroyed.		
Crook End Snooter	RE	CrookEndSnooterExternalFairyUncommon1.png	external	Fairy              			S 	4		8			B										If beaten by External or Elementals, Snooter is destroyed.		
Crystal Flash	RE	CrystalFlashExternalunnamedRare2.png	external			F	S	7		0													Immune to large creature		
Cyclops	RE	CyclopsExternalCommon1.png	external				L 	12		6			B										+1 in the mountains		
Dragon Wing Lord	RE	DragonWingLordExternalDragonRare1.png	external	Dragon             		F	L	19		0	L		B	C	1								5 pt. AOE fire breath. May only accept channeling from Guardian.		
Embryonic Witch	RE	EmbryonicWitchExternalUndeadUncommon2.png	external	Undead             			M 	1		0							Y						Win all pushes in match-ups.		
Eternal Witch Lord	RE	EternalWitchLordExternalUndeadRare2.png	external	Undead             			M 	17		0				C	2								Can only channel to Undead. Can heal one Undead for every creature your opponent lost in combat.		
Female Pixie	RE	FemalePixieExternalPixieUncommon1.png	external	Pixie              			S 	2		0		G											Immune to Externals.		
Female Titan	RE	FemaleTitanExternalTitanCommon1.png	external	Titan              			L 	15		6		G											While face-up, the Titan can change size at will, even when Up-card. -2 Vitality when M sized; -4 when S sized.		
Giant Penguin	RE	GiantPenguinExternalCommon1.png	external				L 	16		8	L												+2 in rivers and lakes		
Goldthwaite Jumper	RE	GoldthwaiteJumperExternalFairyUncommon2.png	external	Fairy              			S 	1		0			B										+1 Vitality when used as a secondary attacker.		
Grand Phooba Schnee	RE	GrandPhoobaSchneeExternalSchneeRare1.png	external	Schnee             			S 	5		0	L						Y						Your first match-up creature is +1, your second +2, etc.		
Grim Skull	RE	GrimSkullExternalUndeadRare2.png	external	Undead             			S	2	4	0						3							3 pt. ranged attack. Can receive up to 3 pts. of channeling when used as a ranged attack.		
Groupie	RE	GroupieExternalUncommon1.png	external				M 	2		0			B	C									Immune to Mortals.		
Hair-de-hobbins	RE	HairdehobbinsExternalFairyCommon1.png	external	Fairy              			M 	6		2		G											+3 in the woods		
Humungus Fungus	RE	HumungusFungusExternalFungusRare1.png	external	Fungus             			L 	12		0													If Fungus wins a match-up, its opponent is destroyed. +2 in the Dry Heaps.		
Iron Crag Baggler	RE	IronCragBagglerExternalFairyCommon1.png	external	Fairy              			S 	4		0		G					Y						Dispel opponent's command card.+1 in the woods		
Iron Crag Boggler	RE	IronCragBogglerExternalFairyCommon1.png	external	Fairy              			S 	5		2		G											When played in a match-up, opponent must discard any Items travelling as Creatures on the space		
Iron Crag Buggler	RE	IronCragBugglerExternalFairyCommon1.png	external	Fairy              			S 	2		0		G					Y						Opponent can't use any ranged attacks in this combat.+1 in the woods		
Kikijub	RE	KikijubExternalunnamedUncommon1.png	external				L 	14		2													+9 in the mountains		
King of Mystfall	RE	KingofMystfallExternalFairyRare2.png	external	Fairy              			S 	8		0			B	C									+3 Vitality to all your Fairies played while the King is in play. +2 Vitality in Woods. Only one King per space per player.  (Errata: card says Brom.)		
Lake Serpent	RE	LakeSerpentExternalDragonRare2.png	external	Dragon             			L 	17		0	L			C									4 pt. AOE fire breath.+3 in rivers and lakes		
Leprechaun	RE	LeprechaunExternalCommon1.png	external				S 	3		0		G											If beaten by a large Creature, Leprechaun is returned to your Storage Hand at the end of Combat.		
Male Pixie	RE	MalePixieExternalPixieCommon1.png	external	Pixie              			S 	2		0			B			2							2 pt. ranged attack that only works on Mortals.		
Male Titan	RE	MaleTitanExternalTitanUncommon2.png	external	Titan              			L 	17		7	L												While face-up, the Titan can change size at will, even when it's the Up-card; -2 Vitality when M sized; -4 Vitality when S sized.		
Minataur	RE	MinataurExternalCommon1.png	external				M 	10		4		G											Both the Minataur and its opponent in melee don't count towards control of the space.+1 in Dry Heaps		
Old Mold	RE	OldMoldExternalMoldCommon1.png	external	Mold               			L 	3		1			B										Immune to fire and ranged attacks.+1 in the swamp		
Phantom Stalker	RE	PhantomStalkerExternalUndeadRare2.png	external	Undead             			M 	14		2													When in your Combat Hand, the Stalker can switch places with any of your Undead creatures in a match up before the next match-up starts. First Creature returns to your Combat Hand. (Note: Combat Hand is errata.)		
Rik'Sook	RE	RikSookExternalWizardRare2.png	external	Wizard			M	5		0		G		C			Y						You can channel to any creature in match-up.		
Rock Rat	RE	RockRatExternalRatRare1.png	external	Rat                			S 	4		0		G				3							3 Pt. ranged attack that can only be used vs. non-flyers.		
Rot Rat	RE	RotRatExternalRatCommon1.png	external	Rat                			S 	2		0		G											+1 Vitality vs. all creatures affected by fear.		
Rouge Spectre	RE	RogueSpecterExternalUndeadUncommon1.png	external	Undead             			M 	6		0													The Specter uses the off-color bonus of your previous match-up card (only applies vs. Mortals). The Specter also receives your previous card's terrain bonus.  One per Shield per player.		
Schneeble	RE	SchneebleExternalSchneeUncommon1.png	external	Schnee             			S 	5		10	L												If Schneeble loses a match-up, it is destroyed.		
Shadow of Ashes	RE	ShadowofAshesExternalUndeadRare2.png	external	Undead             			M 	12		1					3								Shadow of Ashes has a fire-based attack.		
